11,11,23,37,55,55,57,57,63,63,63,11,11,11,17,19,21,35,41,41,41,47,47,47,61,73,11,11,13,29,29,29,33,33,53,59,69,69,69,73,11,17,27,35,37,43,11,11,11,11,15,17,19,19,21,57,59,59,59,59,59,11,11,11,15,15,17,17,19,19,27,27,35,47,47,47,55,61,67,73,73,73,11,23,23,23,59,63,63,63,11,11,11,13,13,29,29,29,33,33,33,49,53,69,69,15,15,19,55,59,59,11,15,57,11,11,17,35,45,27,47,47,67,67,11,15,17,25,51,55,65,11,11,19,23,23,27,57,57,63,63,63,11,19,19,19,59,59
12,12,24,38,56,56,58,58,64,64,64,12,12,12,18,20,22,36,42,42,42,48,48,48,62,74,12,12,14,30,30,30,34,34,54,60,70,70,70,74,12,18,28,36,38,44,12,12,12,12,16,18,20,20,22,58,60,60,60,60,60,12,12,12,16,16,18,18,20,20,28,28,36,48,48,48,56,62,68,74,74,74,12,24,24,24,60,64,64,64,12,12,12,14,14,30,30,30,34,34,34,50,54,70,70,16,16,20,56,60,60,12,16,58,12,12,18,36,46,28,48,48,68,68,12,16,18,26,52,56,66,12,12,20,24,24,28,58,58,64,64,64,12,20,20,20,60,60
13,13,25,39,57,57,59,59,65,65,65,13,13,13,19,21,23,37,43,43,43,49,49,49,63,75,13,13,15,31,31,31,35,35,55,61,71,71,71,75,13,19,29,37,39,45,13,13,13,13,17,19,21,21,23,59,61,61,61,61,61,13,13,13,17,17,19,19,21,21,29,29,37,49,49,49,57,63,69,75,75,75,13,25,25,25,61,65,65,65,13,13,13,15,15,31,31,31,35,35,35,51,55,71,71,17,17,21,57,61,61,13,17,59,13,13,19,37,47,29,49,49,69,69,13,17,19,27,53,57,67,13,13,21,25,25,29,59,59,65,65,65,13,21,21,21,61,61
14,14,26,40,58,58,60,60,66,66,66,14,14,14,20,22,24,38,44,44,44,50,50,50,64,76,14,14,16,32,32,32,36,36,56,62,72,72,72,76,14,20,30,38,40,46,14,14,14,14,18,20,22,22,24,60,62,62,62,62,62,14,14,14,18,18,20,20,22,22,30,30,38,50,50,50,58,64,70,76,76,76,14,26,26,26,62,66,66,66,14,14,14,16,16,32,32,32,36,36,36,52,56,72,72,18,18,22,58,62,62,14,18,60,14,14,20,38,48,30,50,50,70,70,14,18,20,28,54,58,68,14,14,22,26,26,30,60,60,66,66,66,14,22,22,22,62,62
15,15,27,41,59,59,61,61,67,67,67,15,15,15,21,23,25,39,45,45,45,51,51,51,65,77,15,15,17,33,33,33,37,37,57,63,73,73,73,77,15,21,31,39,41,47,15,15,15,15,19,21,23,23,25,61,63,63,63,63,63,15,15,15,19,19,21,21,23,23,31,31,39,51,51,51,59,65,71,77,77,77,15,27,27,27,63,67,67,67,15,15,15,17,17,33,33,33,37,37,37,53,57,73,73,19,19,23,59,63,63,15,19,61,15,15,21,39,49,31,51,51,71,71,15,19,21,29,55,59,69,15,15,23,27,27,31,61,61,67,67,67,15,23,23,23,63,63
16,16,28,42,60,60,62,62,68,68,68,16,16,16,22,24,26,40,46,46,46,52,52,52,66,78,16,16,18,34,34,34,38,38,58,64,74,74,74,78,16,22,32,40,42,48,16,16,16,16,20,22,24,24,26,62,64,64,64,64,64,16,16,16,20,20,22,22,24,24,32,32,40,52,52,52,60,66,72,78,78,78,16,28,28,28,64,68,68,68,16,16,16,18,18,34,34,34,38,38,38,54,58,74,74,20,20,24,60,64,64,16,20,62,16,16,22,40,50,32,52,52,72,72,16,20,22,30,56,60,70,16,16,24,28,28,32,62,62,68,68,68,16,24,24,24,64,64
17,17,29,43,61,61,63,63,69,69,69,17,17,17,23,25,27,41,47,47,47,53,53,53,67,79,17,17,19,35,35,35,39,39,59,65,75,75,75,79,17,23,33,41,43,49,17,17,17,17,21,23,25,25,27,63,65,65,65,65,65,17,17,17,21,21,23,23,25,25,33,33,41,53,53,53,61,67,73,79,79,79,17,29,29,29,65,69,69,69,17,17,17,19,19,35,35,35,39,39,39,55,59,75,75,21,21,25,61,65,65,17,21,63,17,17,23,41,51,33,53,53,73,73,17,21,23,31,57,61,71,17,17,25,29,29,33,63,63,69,69,69,17,25,25,25,65,65
18,18,30,44,62,62,64,64,70,70,70,18,18,18,24,26,28,42,48,48,48,54,54,54,68,80,18,18,20,36,36,36,40,40,60,66,76,76,76,80,18,24,34,42,44,50,18,18,18,18,22,24,26,26,28,64,66,66,66,66,66,18,18,18,22,22,24,24,26,26,34,34,42,54,54,54,62,68,74,80,80,80,18,30,30,30,66,70,70,70,18,18,18,20,20,36,36,36,40,40,40,56,60,76,76,22,22,26,62,66,66,18,22,64,18,18,24,42,52,34,54,54,74,74,18,22,24,32,58,62,72,18,18,26,30,30,34,64,64,70,70,70,18,26,26,26,66,66
19,19,31,45,63,63,65,65,71,71,71,19,19,19,25,27,29,43,49,49,49,55,55,55,69,0,19,19,21,37,37,37,41,41,61,67,77,77,77,0,19,25,35,43,45,51,19,19,19,19,23,25,27,27,29,65,67,67,67,67,67,19,19,19,23,23,25,25,27,27,35,35,43,55,55,55,63,69,75,0,0,0,19,31,31,31,67,71,71,71,19,19,19,21,21,37,37,37,41,41,41,57,61,77,77,23,23,27,63,67,67,0,23,65,19,19,25,43,53,35,55,55,75,75,19,23,25,33,59,63,73,19,19,27,31,31,35,65,65,71,71,71,19,27,27,27,67,67
20,20,32,46,64,64,66,66,72,72,72,20,20,20,26,28,30,44,50,50,50,56,56,56,70,0,20,20,22,38,38,38,42,42,62,68,78,78,78,0,20,26,36,44,46,52,20,20,20,20,24,26,28,28,30,66,68,68,68,68,68,20,20,20,24,24,26,26,28,28,36,36,44,56,56,56,64,70,76,0,0,0,20,32,32,32,68,72,72,72,20,20,20,22,22,38,38,38,42,42,42,58,62,78,78,24,24,28,64,68,68,0,24,66,20,20,26,44,54,36,56,56,76,76,20,24,26,34,60,64,74,20,20,28,32,32,36,66,66,72,72,72,20,28,28,28,68,68
21,21,33,47,65,65,67,67,73,73,73,21,21,21,27,29,31,45,51,51,51,57,57,57,71,0,21,21,23,39,39,39,43,43,63,69,79,79,79,0,21,27,37,45,47,53,0,0,21,21,25,27,29,29,31,67,69,69,69,69,69,21,21,21,25,25,27,27,29,29,37,37,45,57,57,57,65,71,77,0,0,0,0,33,33,33,69,73,73,73,21,21,21,23,23,39,39,39,43,43,43,59,63,79,79,25,25,29,65,69,69,0,25,67,21,21,27,45,55,37,57,57,77,77,0,25,27,35,61,65,75,0,21,29,33,33,37,67,67,73,73,73,21,29,29,29,69,69
22,22,34,48,66,66,68,68,74,74,74,22,22,22,28,30,32,46,52,52,52,58,58,58,72,0,22,22,24,40,40,40,44,44,64,70,80,80,80,0,22,28,38,46,48,54,0,0,22,22,26,28,30,30,32,68,70,70,70,70,70,22,22,22,26,26,28,28,30,30,38,38,46,58,58,58,66,72,78,0,0,0,0,34,34,34,70,74,74,74,22,22,22,24,24,40,40,40,44,44,44,60,64,80,80,26,26,30,66,70,70,0,26,68,22,22,28,46,56,38,58,58,78,78,0,26,28,36,62,66,76,0,22,30,34,34,38,68,68,74,74,74,22,30,30,30,70,70
0,0,35,49,67,67,69,69,75,75,75,23,23,23,29,31,33,47,53,53,53,59,59,59,73,0,23,23,25,41,41,41,45,45,65,71,0,0,0,0,23,29,39,47,49,55,0,0,23,23,27,29,31,31,33,69,71,71,71,71,71,23,23,23,27,27,29,29,31,31,39,39,47,59,59,59,67,73,79,0,0,0,0,35,35,35,71,75,75,75,23,23,23,25,25,41,41,41,45,45,45,61,65,0,0,27,27,31,67,71,71,0,27,69,23,23,29,47,57,39,59,59,79,79,0,27,29,37,63,67,77,0,23,31,35,35,39,69,69,75,75,75,0,31,31,31,71,71
0,0,36,50,68,68,70,70,76,76,76,24,24,24,30,32,34,48,54,54,54,60,60,60,74,0,24,24,26,42,42,42,46,46,66,72,0,0,0,0,24,30,40,48,50,56,0,0,24,24,28,30,32,32,34,70,72,72,72,72,72,24,24,24,28,28,30,30,32,32,40,40,48,60,60,60,68,74,80,0,0,0,0,36,36,36,72,76,76,76,24,24,24,26,26,42,42,42,46,46,46,62,66,0,0,28,28,32,68,72,72,0,28,70,24,24,30,48,58,40,60,60,80,80,0,28,30,38,64,68,78,0,24,32,36,36,40,70,70,76,76,76,0,32,32,32,72,72
0,0,37,51,69,69,71,71,77,77,77,25,25,25,31,33,35,49,55,55,55,61,61,61,75,0,25,25,27,43,43,43,47,47,67,73,0,0,0,0,25,31,41,49,51,57,0,0,25,25,29,31,33,33,35,71,73,73,73,73,73,25,25,25,29,29,31,31,33,33,41,41,49,61,61,61,69,75,0,0,0,0,0,37,37,37,73,77,77,77,25,25,25,27,27,43,43,43,47,47,47,63,67,0,0,29,29,33,69,73,73,0,29,71,0,0,31,49,59,41,61,61,0,0,0,29,31,39,65,69,79,0,25,33,37,37,41,71,71,77,77,77,0,33,33,33,73,73
0,0,38,52,70,70,72,72,78,78,78,26,26,26,32,34,36,50,56,56,56,62,62,62,76,0,26,26,28,44,44,44,48,48,68,74,0,0,0,0,26,32,42,50,52,58,0,0,26,26,30,32,34,34,36,72,74,74,74,74,74,26,26,26,30,30,32,32,34,34,42,42,50,62,62,62,70,76,0,0,0,0,0,38,38,38,74,78,78,78,26,26,26,28,28,44,44,44,48,48,48,64,68,0,0,30,30,34,70,74,74,0,30,72,0,0,32,50,60,42,62,62,0,0,0,30,32,40,66,70,80,0,26,34,38,38,42,72,72,78,78,78,0,34,34,34,74,74
0,0,39,53,71,71,73,73,79,79,79,0,0,0,33,35,37,51,57,57,57,63,63,63,77,0,27,27,29,45,45,45,49,49,69,75,0,0,0,0,0,33,43,51,53,59,0,0,0,27,31,33,35,35,37,73,75,75,75,75,75,0,0,0,31,31,33,33,35,35,43,43,51,63,63,63,71,77,0,0,0,0,0,39,39,39,75,79,79,79,27,27,27,29,29,45,45,45,49,49,49,65,69,0,0,31,31,35,71,75,75,0,31,73,0,0,33,51,61,43,63,63,0,0,0,31,33,41,67,71,0,0,0,35,39,39,43,73,73,79,79,79,0,35,35,35,75,75
0,0,40,54,72,72,74,74,80,80,80,0,0,0,34,36,38,52,58,58,58,64,64,64,78,0,28,28,30,46,46,46,50,50,70,76,0,0,0,0,0,34,44,52,54,60,0,0,0,28,32,34,36,36,38,74,76,76,76,76,76,0,0,0,32,32,34,34,36,36,44,44,52,64,64,64,72,78,0,0,0,0,0,40,40,40,76,80,80,80,28,28,28,30,30,46,46,46,50,50,50,66,70,0,0,32,32,36,72,76,76,0,32,74,0,0,34,52,62,44,64,64,0,0,0,32,34,42,68,72,0,0,0,36,40,40,44,74,74,80,80,80,0,36,36,36,76,76
0,0,41,55,73,73,75,75,0,0,0,0,0,0,35,37,39,53,59,59,59,65,65,65,79,0,0,0,31,47,47,47,51,51,71,77,0,0,0,0,0,35,45,53,55,61,0,0,0,29,33,35,37,37,39,75,77,77,77,77,77,0,0,0,33,33,35,35,37,37,45,45,53,65,65,65,73,79,0,0,0,0,0,41,41,41,77,0,0,0,0,0,0,31,31,47,47,47,51,51,51,67,71,0,0,33,33,37,73,77,77,0,33,75,0,0,35,53,63,45,65,65,0,0,0,33,35,43,69,73,0,0,0,37,41,41,45,75,75,0,0,0,0,37,37,37,77,77
