14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,24,24,26,26,26,26,26,26,26,26,26,28,30,30,30,30,30,30,32,32,32,32,32,32,36,36,36,36,36,36,36,38,38,38,38,40,40,40,40,44,44,44,44,46,46,48,50,50,50,50,50,50,50,50,50,52,52,54,56,56,58,58,58,58,58,58,60,60,60,60,60,60,60,62,62,62,62,62,62,62,62,62,62,62,64,64,64,66,66,66,66,66,66,66,66,66,68,70,70,70,72,72,72,72,72,72,76,76,76,76,76
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,23,23,23,23,23,23,23,23,23,23,25,25,27,27,27,27,27,27,27,27,27,29,31,31,31,31,31,31,33,33,33,33,33,33,37,37,37,37,37,37,37,39,39,39,39,41,41,41,41,45,45,45,45,47,47,49,51,51,51,51,51,51,51,51,51,53,53,55,57,57,59,59,59,59,59,59,61,61,61,61,61,61,61,63,63,63,63,63,63,63,63,63,63,63,65,65,65,67,67,67,67,67,67,67,67,67,69,71,71,71,73,73,73,73,73,73,77,77,77,77,77
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,24,24,24,26,26,28,28,28,28,28,28,28,28,28,30,32,32,32,32,32,32,34,34,34,34,34,34,38,38,38,38,38,38,38,40,40,40,40,42,42,42,42,46,46,46,46,48,48,50,52,52,52,52,52,52,52,52,52,54,54,56,58,58,60,60,60,60,60,60,62,62,62,62,62,62,62,64,64,64,64,64,64,64,64,64,64,64,66,66,66,68,68,68,68,68,68,68,68,68,70,72,72,72,74,74,74,74,74,74,78,78,78,78,78
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,21,21,21,21,21,21,21,23,23,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25,27,27,29,29,29,29,29,29,29,29,29,31,33,33,33,33,33,33,35,35,35,35,35,35,39,39,39,39,39,39,39,41,41,41,41,43,43,43,43,47,47,47,47,49,49,51,53,53,53,53,53,53,53,53,53,55,55,57,59,59,61,61,61,61,61,61,63,63,63,63,63,63,63,65,65,65,65,65,65,65,65,65,65,65,67,67,67,69,69,69,69,69,69,69,69,69,71,73,73,73,75,75,75,75,75,75,79,79,79,79,79
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,22,22,22,22,22,22,22,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,28,28,30,30,30,30,30,30,30,30,30,32,34,34,34,34,34,34,36,36,36,36,36,36,40,40,40,40,40,40,40,42,42,42,42,44,44,44,44,48,48,48,48,50,50,52,54,54,54,54,54,54,54,54,54,56,56,58,60,60,62,62,62,62,62,62,64,64,64,64,64,64,64,66,66,66,66,66,66,66,66,66,66,66,68,68,68,70,70,70,70,70,70,70,70,70,72,74,74,74,76,76,76,76,76,76,80,80,80,80,80
0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,29,29,31,31,31,31,31,31,31,31,31,33,35,35,35,35,35,35,37,37,37,37,37,37,41,41,41,41,41,41,41,43,43,43,43,45,45,45,45,49,49,49,49,51,51,53,55,55,55,55,55,55,55,55,55,57,57,59,61,61,63,63,63,63,63,63,65,65,65,65,65,65,65,67,67,67,67,67,67,67,67,67,67,67,69,69,69,71,71,71,71,71,71,71,71,71,73,75,75,75,77,77,77,77,77,77,0,0,0,0,0
0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28,30,30,32,32,32,32,32,32,32,32,32,34,36,36,36,36,36,36,38,38,38,38,38,38,42,42,42,42,42,42,42,44,44,44,44,46,46,46,46,50,50,50,50,52,52,54,56,56,56,56,56,56,56,56,56,58,58,60,62,62,64,64,64,64,64,64,66,66,66,66,66,66,66,68,68,68,68,68,68,68,68,68,68,68,70,70,70,72,72,72,72,72,72,72,72,72,74,76,76,76,78,78,78,78,78,78,0,0,0,0,0
0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,23,23,23,23,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,29,29,29,29,29,29,29,29,29,29,31,31,33,33,33,33,33,33,33,33,33,35,37,37,37,37,37,37,39,39,39,39,39,39,43,43,43,43,43,43,43,45,45,45,45,47,47,47,47,51,51,51,51,53,53,55,57,57,57,57,57,57,57,57,57,59,59,61,63,63,65,65,65,65,65,65,67,67,67,67,67,67,67,69,69,69,69,69,69,69,69,69,69,69,71,71,71,73,73,73,73,73,73,73,73,73,75,77,77,77,79,79,79,79,79,79,0,0,0,0,0
0,0,0,0,0,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24,24,24,26,26,26,26,26,26,26,28,28,28,28,28,28,28,28,28,30,30,30,30,30,30,30,30,30,30,32,32,34,34,34,34,34,34,34,34,34,36,38,38,38,38,38,38,40,40,40,40,40,40,44,44,44,44,44,44,44,46,46,46,46,48,48,48,48,52,52,52,52,54,54,56,58,58,58,58,58,58,58,58,58,60,60,62,64,64,66,66,66,66,66,66,68,68,68,68,68,68,68,70,70,70,70,70,70,70,70,70,70,70,72,72,72,74,74,74,74,74,74,74,74,74,76,78,78,78,80,80,80,80,80,80,0,0,0,0,0
0,0,0,0,0,0,0,0,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,27,27,27,27,27,27,27,29,29,29,29,29,29,29,29,29,31,31,31,31,31,31,31,31,31,31,33,33,35,35,35,35,35,35,35,35,35,37,39,39,39,39,39,39,41,41,41,41,41,41,45,45,45,45,45,45,45,47,47,47,47,49,49,49,49,53,53,53,53,55,55,57,59,59,59,59,59,59,59,59,59,61,61,63,65,65,67,67,67,67,67,67,69,69,69,69,69,69,69,71,71,71,71,71,71,71,71,71,71,71,73,73,73,75,75,75,75,75,75,75,75,75,77,79,79,79,0,0,0,0,0,0,0,0,0,0,0
